,,単語,意味,フレーズ,訳,英作問題,和訳問題,
763 ,,charm,魅力,a city full of charm,魅力にあふれた都市,a city full of (    ),(    )にあふれた都市,
764 ,,organ,器官,sense organs,感覚器官,sense (    ),感覚(    ),
765 ,,prey,えじき,the prey of the lion,ライオンのえじき,the (    ) of the lion,ライオンの(    ),
766 ,,venture,事業,a joint venture with Taiwan,台湾との共同事業,a joint (    ) with Taiwan,台湾との共同(    ),
767 ,,mission,任務,carry out a dangerous mission,危険な任務を果たす,carry out a dangerous (    ),危険な(    )を果たす,
768 ,,inquiry,調査,an inquiry into the accident,事故に関する調査,an (    ) into the accident,事故に関する(    ),
769 ,,award,賞,the Academy Award for Best Picture,アカデミー最優秀作品賞,the Academy (    ) for Best Picture,アカデミー最優秀作品(    ),
770 ,,strip,切れ,a long strip of paper,長い紙切れ,a long (    ) of paper,長い紙(    ),
771 ,,distress,苦難,be in economic distress,経済的苦難におちいる,be in economic (    ),経済的(    )におちいる,
772 ,,circulation,循環,increase blood circulation,血液の循環を高める,increase blood (    ),血液の(    )を高める,
773 ,,shade,陰,keep the beer in the shade,ビールを日陰に置く,keep the beer in the (    ),ビールを日(    )に置く,
774 ,,stereotype,型にはまったイメージ,a stereotype of Americans,アメリカ人に関する型にはまったイメージ,a (    ) of Americans,アメリカ人に関する(    ),
775 ,,client,依頼人,a lawyer and his client,弁護士とその依頼人,a lawyer and his (    ),弁護士とその(    ),
776 ,,output,生産高,the factory's output,その工場の生産高,the factory's (    ),その工場の(    ),
777 ,,lord,神,praise the Lord,神をたたえる,praise the (    ),(    )をたたえる,
778 ,,convention,慣習,follow social conventions,社会の慣習に従う,follow social (    ),社会の(    )に従う,
779 ,,mine,鉱,discover a gold mine,金鉱を発見する,discover a gold (    ),金(    )を発見する,
780 ,,craft,工芸,a traditional Japanese craft,日本の伝統工芸,a traditional Japanese (    ),日本の伝統(    ),
781 ,,core,核心,the core of the problem,問題の核心,the (    ) of the problem,問題の(    ),
782 ,,stroke,脳卒中,have a stroke,脳卒中になる,have a (    ),(    )になる,
783 ,,frontier,辺境,America's last frontier,アメリカ最後の辺境,America's last (    ),アメリカ最後の(    ),
784 ,,peer,同僚,He's popular with his peers.,彼は同僚に人気だ,He's popular with his (    ).,彼は(    )に人気だ,
785 ,,vessel,管,blood vessels,血管,blood (    ),血(    ),
786 ,,disability,障害,people with disabilities,障害を持つ人々,people with (    ),(    )を持つ人々,
787 ,,gravity,重力,zero gravity in space,宇宙の無重力状態,zero (    ) in space,宇宙の無(    )状態,
788 ,,ethic,倫理,a question of medical ethics,医学の倫理の問題,a question of medical (    ),医学の(    )の問題,
789 ,,terminal,終点,a railroad terminal,鉄道の終点,a railroad (    ),鉄道の(    ),
790 ,,tide,潮流,swim against the tide,潮流に逆らって泳ぐ,swim against the (    ),(    )に逆らって泳ぐ,
791 ,,abuse,虐待,child abuse,児童虐待,child (    ),児童(    ),
792 ,,guilty,罪の,feel guilty about leaving him,彼を捨てたことに罪の意識を感じる,feel (    ) about leaving him,彼を捨てたことに(    )意識を感じる,
793 ,,vital,きわめて重要だ,be vital to human health,人の健康にきわめて重要だ,be (    ) to human health,人の健康に(    ),
794 ,,fellow,仲間,his fellow workers,彼の仕事仲間,his (    ) workers,彼の仕事(    ),
795 ,,contemporary,現代の,contemporary Japanese society,現代の日本社会,(    ) Japanese society,(    )日本社会,
796 ,,annual,年,his annual income,彼の年収,his (    ) income,彼の(    )収,
797 ,,accustomed,慣れる,become accustomed to driving,車の運転に慣れる,become (    ) to driving,車の運転に(    ),
798 ,,steady,着実な,steady economic growth,着実な経済成長,(    ) economic growth,(    )経済成長,
799 ,,dull,退屈な,very dull work,とても退屈な仕事,very (    ) work,とても(    )仕事,
800 ,,keen,したい,I'm keen to talk to him,私は彼と話をしたい,I'm (    ) to talk to him,私は彼と話を(    ),
801 ,,loose,ゆったりとした,wear loose clothes,ゆったりとした服を着る,wear (    ) clothes,(    )服を着る,
802 ,,delicate,微妙な,the delicate balance of nature,自然界の微妙なバランス,the (    ) balance of nature,自然界の(    )バランス,
803 ,,internal,内,internal medicine,内科,(    ) medicine,(    )科,
804 ,,casual,気楽な,wear casual clothes,気楽な服装をする,wear (    ) clothes,(    )服装をする,
805 ,,mature,成熟した,mature adults,成熟した大人,(    ) adults,(    )大人,
806 ,,concrete,具体的な,give a concrete example,具体的な例をあげる,give a (    ) example,(    )例をあげる,
807 ,,awful,ひどい,How awful!,なんてひどい！,How (    )!,なんて(    )！,
808 ,,exhausted,疲れ切っている,be exhausted from overwork,過労で疲れ切っている,be (    ) from overwork,過労で(    ),
809 ,,overall,全体的な,part of an overall plan,全体的な計画の一部,part of an (    ) plan,(    )計画の一部,
810 ,,tight,きつい,tight jeans,きついジーンズ,(    ) jeans,(    )ジーンズ,
811 ,,prime,主要な,the prime cause,主要な原因,the (    ) cause,(    )原因,
812 ,,genuine,真の,a genuine interest in science,科学に対する真の関心,a (    ) interest in science,科学に対する(    )関心,
813 ,,modest,控えめな,a modest dress,控えめな服装,a (    ) dress,(    )服装,
814 ,,intimate,親密な,an intimate relationship,親密な関係,an (    ) relationship,(    )関係,
815 ,,minimum,最小の,minimum effort,最小の努力,(    ) effort,(    )努力,
816 ,,sophisticated,高度な,sophisticated computer technology,高度なコンピュータ技術,(    ) computer technology,(    )コンピュータ技術,
817 ,,latter,後者の,I have a dog and a cat. The latter is bigger.,犬と猫を飼っているが、後者の方が大きい,I have a dog and a cat. The (    ) is bigger.,犬と猫を飼っているが、(    )方が大きい,
818 ,,bitter,苦い,a bitter experience,苦い経験,a (    ) experience,(    )経験,
819 ,,peculiar,特有の,expressions peculiar to English,英語特有の表現,expressions (    ) to English,英語(    )表現,
820 ,,passive,消極的な,a passive attitude,消極的な態度,a (    ) attitude,(    )態度,
821 ,,ethnic,民族,different ethnic groups,異なる民族集団,different (    ) groups,異なる(    )集団,
822 ,,noble,高貴な,a person of noble birth,高貴な生まれの人,a person of (    ) birth,(    )生まれの人,
823 ,,vain,むだな,make a vain effort,むだな努力をする,make a (    ) effort,(    )努力をする,
824 ,,innocent,罪のない,blame innocent people,罪のない人々を責める,blame (    ) people,(    )人々を責める,
825 ,,underlying,根本的な,the underlying cause,根本的な原因,the (    ) cause,(    )原因,
826 ,,alien,外来,an alien species,外来種,an (    ) species,(    )種,
827 ,,relevant,関係がある,be relevant to the question,その問題に関係がある,be (    ) to the question,その問題に(    ),
828 ,,inclined,気がする,I am inclined to believe him.,彼の言葉を信じたい気がする,I am (    ) to believe him.,彼の言葉を信じたい(    ),
829 ,,awkward,気まずい,an awkward silence,気まずい沈黙,an (    ) silence,(    )沈黙,
830 ,,brilliant,素晴らしい,That's a brilliant idea!,それは素晴らしいアイディアだ！,That's a (    ) idea!,それは(    )アイディアだ！,
831 ,,desperate,必死の,a desperate attempt,必死の試み,a (    ) attempt,(    )試み,
832 ,,refreshing,さわやかな,a refreshing drink,さわやかな飲み物,a (    ) drink,(    )飲み物,
833 ,,thrilled,とてもうれしい,I'm thrilled to hear your voice.,君の声が聞けてとてもうれしい,I'm (    ) to hear your voice.,君の声が聞けて(    ),
834 ,,inner,内なる,her inner self,彼女の内なる自分,her (    ) self,彼女の(    )自分,
835 ,,consistent,一致する,be consistent with the theory,理論と一致する,be (    ) with the theory,理論と(    ),
836 ,,plain,平易な,be written in plain English,平易な英語で書かれている,be written in (    ) English,(    )英語で書かれている,
837 ,,vivid,鮮やかな,have vivid memories,鮮やかな思い出がある,have (    ) memories,(    )思い出がある,
838 ,,miserable,惨めな,a miserable life,惨めな生活,a (    ) life,(    )生活,
839 ,,substantial,相当な,a substantial number of people,相当な数の人々,a (    ) number of people,(    )数の人々,
840 ,,fond,好きだ,She is very fond of reading,彼女は読書が大好きだ,She is very (    ) of reading,彼女は読書が大(    ),
841 ,,false,まちがい,True or false?,正しいかまちがいか,True or (    )?,正しいか(    )か,
842 ,,lazy,怠惰な,a lazy student,怠惰な学生,a (    ) student,(    )学生,
843 ,,precisely,ちょうど,precisely at noon,ちょうど正午に,(    ) at noon,(    )正午に,
844 ,,meanwhile,その間,"She was cooking. Meanwhile, I was drinking.",彼女は料理をしていた。その間、私は酒を飲んでいた。,"She was cooking. (    ), I was drinking.",彼女は料理をしていた。(    )、私は酒を飲んでいた。,
845 ,,altogether,完全に,disappear altogether,完全に消滅する,disappear (    ),(    )消滅する,
846 ,,lately,最近,Have you seen him lately?,最近彼に会いましたか,Have you seen him (    )?,(    )彼に会いましたか,
847 ,,barely,かろうじて,barely survive the war,かろうじて戦争を生き延びる,(    ) survive the war,(    )戦争を生き延びる,
848 ,,scarcely,なかった,I could scarcely believe it.,ほとんど信じられなかった,I could (    ) believe it.,ほとんど信じられ(    ),
849 ,,accordingly,それ相応に,"You're an adult, so act accordingly.",君は大人なのだからそれ相応に行動しなさい,"You're an adult, so act (    ).",君は大人なのだから(    )行動しなさい,
850 ,,deliberately,わざと,deliberately ignore him,彼をわざと無視する,(    ) ignore him,彼を(    )無視する,
851 ,,beneath,下で,beneath the surface of the water,水面下で,(    ) the surface of the water,水面(    ),
852 ,,whereas,が,"The British say ""lift"", whereas American say ""elevator"".",イギリス人は「リフト」と言うが、アメリカ人は「エレベータ」と言う,"The British say ""lift"", (    ) American say ""elevator"".",イギリス人は「リフト」と言う(    )、アメリカ人は「エレベータ」と言う,
853 ,,declare,を宣言する,declare independence from Britain,イギリスからの独立を宣言する,(    ) independence from Britain,イギリスからの独立(    ),
